Operand 1  | Operand 2  | Result     | Values
00000001 | 00001011 | 00000110 |     1.1250000000 +     0.6875000000 =     1.7500000000
00000001 | 00001100 | 00000111 |     1.1250000000 +     0.7500000000 =     1.8750000000
00000001 | 00001101 | 00000111 |     1.1250000000 +     0.8125000000 =     1.8750000000
00000001 | 00001110 | 00000111 |     1.1250000000 +     0.8750000000 =     1.8750000000
00000001 | 00001111 | 00000111 |     1.1250000000 +     0.9375000000 =     1.8750000000
00000010 | 00000000 | 00000111 |     1.2500000000 +     1.0000000000 =     1.8750000000
00000010 | 00000001 | 00000111 |     1.2500000000 +     1.1250000000 =     1.8750000000
00000010 | 00000010 | 00000111 |     1.2500000000 +     1.2500000000 =     1.8750000000
00000010 | 00000011 | 00000111 |     1.2500000000 +     1.3750000000 =     1.8750000000
00000010 | 00000100 | 00000111 |     1.2500000000 +     1.5000000000 =     1.8750000000
00000010 | 00000101 | 00000111 |     1.2500000000 +     1.6250000000 =     1.8750000000
00000010 | 00000110 | 00000111 |     1.2500000000 +     1.7500000000 =     1.8750000000
00000010 | 00000111 | 00000111 |     1.2500000000 +     1.8750000000 =     1.8750000000
00000010 | 00001000 | 00000110 |     1.2500000000 +     0.5000000000 =     1.7500000000
00000010 | 00001001 | 00000110 |     1.2500000000 +     0.5625000000 =     1.7500000000
00000010 | 00001010 | 00000111 |     1.2500000000 +     0.6250000000 =     1.8750000000
00000010 | 00001011 | 00000111 |     1.2500000000 +     0.6875000000 =     1.8750000000
00000010 | 00001100 | 00000111 |     1.2500000000 +     0.7500000000 =     1.8750000000
00000010 | 00001101 | 00000111 |     1.2500000000 +     0.8125000000 =     1.8750000000
00000010 | 00001110 | 00000111 |     1.2500000000 +     0.8750000000 =     1.8750000000
00000010 | 00001111 | 00000111 |     1.2500000000 +     0.9375000000 =     1.8750000000
00000011 | 00000000 | 00000111 |     1.3750000000 +     1.0000000000 =     1.8750000000
00000011 | 00000001 | 00000111 |     1.3750000000 +     1.1250000000 =     1.8750000000
00000011 | 00000010 | 00000111 |     1.3750000000 +     1.2500000000 =     1.8750000000
00000011 | 00000011 | 00000111 |     1.3750000000 +     1.3750000000 =     1.8750000000
00000011 | 00000100 | 00000111 |     1.3750000000 +     1.5000000000 =     1.8750000000
00000011 | 00000101 | 00000111 |     1.3750000000 +     1.6250000000 =     1.8750000000
00000011 | 00000110 | 00000111 |     1.3750000000 +     1.7500000000 =     1.8750000000
00000011 | 00000111 | 00000111 |     1.3750000000 +     1.8750000000 =     1.8750000000
00000011 | 00001000 | 00000111 |     1.3750000000 +     0.5000000000 =     1.8750000000
00000011 | 00001001 | 00000111 |     1.3750000000 +     0.5625000000 =     1.8750000000
00000011 | 00001010 | 00000111 |     1.3750000000 +     0.6250000000 =     1.8750000000
00000011 | 00001011 | 00000111 |     1.3750000000 +     0.6875000000 =     1.8750000000
00000011 | 00001100 | 00000111 |     1.3750000000 +     0.7500000000 =     1.8750000000
00000011 | 00001101 | 00000111 |     1.3750000000 +     0.8125000000 =     1.8750000000
00000011 | 00001110 | 00000111 |     1.3750000000 +     0.8750000000 =     1.8750000000
00000011 | 00001111 | 00000111 |     1.3750000000 +     0.9375000000 =     1.8750000000
00000100 | 00000000 | 00000111 |     1.5000000000 +     1.0000000000 =     1.8750000000
00000100 | 00000001 | 00000111 |     1.5000000000 +     1.1250000000 =     1.8750000000
00000100 | 00000010 | 00000111 |     1.5000000000 +     1.2500000000 =     1.8750000000
00000100 | 00000011 | 00000111 |     1.5000000000 +     1.3750000000 =     1.8750000000
00000100 | 00000100 | 00000111 |     1.5000000000 +     1.5000000000 =     1.8750000000
00000100 | 00000101 | 00000111 |     1.5000000000 +     1.6250000000 =     1.8750000000
00000100 | 00000110 | 00000111 |     1.5000000000 +     1.7500000000 =     1.8750000000
00000100 | 00000111 | 00000111 |     1.5000000000 +     1.8750000000 =     1.8750000000
00000100 | 00001000 | 00000111 |     1.5000000000 +     0.5000000000 =     1.8750000000
00000100 | 00001001 | 00000111 |     1.5000000000 +     0.5625000000 =     1.8750000000
00000100 | 00001010 | 00000111 |     1.5000000000 +     0.6250000000 =     1.8750000000
00000100 | 00001011 | 00000111 |     1.5000000000 +     0.6875000000 =     1.8750000000
00000100 | 00001100 | 00000111 |     1.5000000000 +     0.7500000000 =     1.8750000000
00000100 | 00001101 | 00000111 |     1.5000000000 +     0.8125000000 =     1.8750000000
00000100 | 00001110 | 00000111 |     1.5000000000 +     0.8750000000 =     1.8750000000
00000100 | 00001111 | 00000111 |     1.5000000000 +     0.9375000000 =     1.8750000000
00000101 | 00000000 | 00000111 |     1.6250000000 +     1.0000000000 =     1.8750000000
00000101 | 00000001 | 00000111 |     1.6250000000 +     1.1250000000 =     1.8750000000
00000101 | 00000010 | 00000111 |     1.6250000000 +     1.2500000000 =     1.8750000000
00000101 | 00000011 | 00000111 |     1.6250000000 +     1.3750000000 =     1.8750000000
00000101 | 00000100 | 00000111 |     1.6250000000 +     1.5000000000 =     1.8750000000
00000101 | 00000101 | 00000111 |     1.6250000000 +     1.6250000000 =     1.8750000000
00000101 | 00000110 | 00000111 |     1.6250000000 +     1.7500000000 =     1.8750000000
00000101 | 00000111 | 00000111 |     1.6250000000 +     1.8750000000 =     1.8750000000
00000101 | 00001000 | 00000111 |     1.6250000000 +     0.5000000000 =     1.8750000000
00000101 | 00001001 | 00000111 |     1.6250000000 +     0.5625000000 =     1.8750000000
00000101 | 00001010 | 00000111 |     1.6250000000 +     0.6250000000 =     1.8750000000
00000101 | 00001011 | 00000111 |     1.6250000000 +     0.6875000000 =     1.8750000000
00000101 | 00001100 | 00000111 |     1.6250000000 +     0.7500000000 =     1.8750000000
00000101 | 00001101 | 00000111 |     1.6250000000 +     0.8125000000 =     1.8750000000
00000101 | 00001110 | 00000111 |     1.6250000000 +     0.8750000000 =     1.8750000000
00000101 | 00001111 | 00000111 |     1.6250000000 +     0.9375000000 =     1.8750000000
00000110 | 00000000 | 00000111 |     1.7500000000 +     1.0000000000 =     1.8750000000
00000110 | 00000001 | 00000111 |     1.7500000000 +     1.1250000000 =     1.8750000000
00000110 | 00000010 | 00000111 |     1.7500000000 +     1.2500000000 =     1.8750000000
00000110 | 00000011 | 00000111 |     1.7500000000 +     1.3750000000 =     1.8750000000
00000110 | 00000100 | 00000111 |     1.7500000000 +     1.5000000000 =     1.8750000000
00000110 | 00000101 | 00000111 |     1.7500000000 +     1.6250000000 =     1.8750000000
00000110 | 00000110 | 00000111 |     1.7500000000 +     1.7500000000 =     1.8750000000
00000110 | 00000111 | 00000111 |     1.7500000000 +     1.8750000000 =     1.8750000000
00000110 | 00001000 | 00000111 |     1.7500000000 +     0.5000000000 =     1.8750000000
00000110 | 00001001 | 00000111 |     1.7500000000 +     0.5625000000 =     1.8750000000
00000110 | 00001010 | 00000111 |     1.7500000000 +     0.6250000000 =     1.8750000000
00000110 | 00001011 | 00000111 |     1.7500000000 +     0.6875000000 =     1.8750000000
00000110 | 00001100 | 00000111 |     1.7500000000 +     0.7500000000 =     1.8750000000
00000110 | 00001101 | 00000111 |     1.7500000000 +     0.8125000000 =     1.8750000000
00000110 | 00001110 | 00000111 |     1.7500000000 +     0.8750000000 =     1.8750000000
00000110 | 00001111 | 00000111 |     1.7500000000 +     0.9375000000 =     1.8750000000
00000111 | 00000000 | 00000111 |     1.8750000000 +     1.0000000000 =     1.8750000000
00000111 | 00000001 | 00000111 |     1.8750000000 +     1.1250000000 =     1.8750000000
00000111 | 00000010 | 00000111 |     1.8750000000 +     1.2500000000 =     1.8750000000
00000111 | 00000011 | 00000111 |     1.8750000000 +     1.3750000000 =     1.8750000000
00000111 | 00000100 | 00000111 |     1.8750000000 +     1.5000000000 =     1.8750000000
00000111 | 00000101 | 00000111 |     1.8750000000 +     1.6250000000 =     1.8750000000
00000111 | 00000110 | 00000111 |     1.8750000000 +     1.7500000000 =     1.8750000000
00000111 | 00000111 | 00000111 |     1.8750000000 +     1.8750000000 =     1.8750000000
00000111 | 00001000 | 00000111 |     1.8750000000 +     0.5000000000 =     1.8750000000
00000111 | 00001001 | 00000111 |     1.8750000000 +     0.5625000000 =     1.8750000000
00000111 | 00001010 | 00000111 |     1.8750000000 +     0.6250000000 =     1.8750000000
00000111 | 00001011 | 00000111 |     1.8750000000 +     0.6875000000 =     1.8750000000
00000111 | 00001100 | 00000111 |     1.8750000000 +     0.7500000000 =     1.8750000000
00000111 | 00001101 | 00000111 |     1.8750000000 +     0.8125000000 =     1.8750000000
00000111 | 00001110 | 00000111 |     1.8750000000 +     0.8750000000 =     1.8750000000
00000111 | 00001111 | 00000111 |     1.8750000000 +     0.9375000000 =     1.8750000000
00001000 | 00000000 | 00000100 |     0.5000000000 +     1.0000000000 =     1.5000000000
00001000 | 00000001 | 00000101 |     0.5000000000 +     1.1250000000 =     1.6250000000
00001000 | 00000010 | 00000110 |     0.5000000000 +     1.2500000000 =     1.7500000000
00001000 | 00000011 | 00000111 |     0.5000000000 +     1.3750000000 =     1.8750000000
00001000 | 00000100 | 00000111 |     0.5000000000 +     1.5000000000 =     1.8750000000
00001000 | 00000101 | 00000111 |     0.5000000000 +     1.6250000000 =     1.8750000000
00001000 | 00000110 | 00000111 |     0.5000000000 +     1.7500000000 =     1.8750000000
00001000 | 00000111 | 00000111 |     0.5000000000 +     1.8750000000 =     1.8750000000
00001000 | 00001000 | 00000000 |     0.5000000000 +     0.5000000000 =     1.0000000000
00001000 | 00001001 | 00000000 |     0.5000000000 +     0.5625000000 =     1.0000000000
00001000 | 00001010 | 00000001 |     0.5000000000 +     0.6250000000 =     1.1250000000
00001000 | 00001011 | 00000001 |     0.5000000000 +     0.6875000000 =     1.1250000000
00001000 | 00001100 | 00000010 |     0.5000000000 +     0.7500000000 =     1.2500000000
00001000 | 00001101 | 00000010 |     0.5000000000 +     0.8125000000 =     1.2500000000
00001000 | 00001110 | 00000011 |     0.5000000000 +     0.8750000000 =     1.3750000000
00001000 | 00001111 | 00000011 |     0.5000000000 +     0.9375000000 =     1.3750000000
00001001 | 00000000 | 00000100 |     0.5625000000 +     1.0000000000 =     1.5000000000
00001001 | 00000001 | 00000101 |     0.5625000000 +     1.1250000000 =     1.6250000000
00001001 | 00000010 | 00000110 |     0.5625000000 +     1.2500000000 =     1.7500000000
00001001 | 00000011 | 00000111 |     0.5625000000 +     1.3750000000 =     1.8750000000
00001001 | 00000100 | 00000111 |     0.5625000000 +     1.5000000000 =     1.8750000000
00001001 | 00000101 | 00000111 |     0.5625000000 +     1.6250000000 =     1.8750000000
00001001 | 00000110 | 00000111 |     0.5625000000 +     1.7500000000 =     1.8750000000
00001001 | 00000111 | 00000111 |     0.5625000000 +     1.8750000000 =     1.8750000000
00001001 | 00001000 | 00000000 |     0.5625000000 +     0.5000000000 =     1.0000000000
00001001 | 00001001 | 00000001 |     0.5625000000 +     0.5625000000 =     1.1250000000
00001001 | 00001010 | 00000001 |     0.5625000000 +     0.6250000000 =     1.1250000000
00001001 | 00001011 | 00000010 |     0.5625000000 +     0.6875000000 =     1.2500000000
00001001 | 00001100 | 00000010 |     0.5625000000 +     0.7500000000 =     1.2500000000
00001001 | 00001101 | 00000011 |     0.5625000000 +     0.8125000000 =     1.3750000000
00001001 | 00001110 | 00000011 |     0.5625000000 +     0.8750000000 =     1.3750000000
00001001 | 00001111 | 00000100 |     0.5625000000 +     0.9375000000 =     1.5000000000
00001010 | 00000000 | 00000101 |     0.6250000000 +     1.0000000000 =     1.6250000000
00001010 | 00000001 | 00000110 |     0.6250000000 +     1.1250000000 =     1.7500000000
00001010 | 00000010 | 00000111 |     0.6250000000 +     1.2500000000 =     1.8750000000
00001010 | 00000011 | 00000111 |     0.6250000000 +     1.3750000000 =     1.8750000000
00001010 | 00000100 | 00000111 |     0.6250000000 +     1.5000000000 =     1.8750000000
00001010 | 00000101 | 00000111 |     0.6250000000 +     1.6250000000 =     1.8750000000
00001010 | 00000110 | 00000111 |     0.6250000000 +     1.7500000000 =     1.8750000000
00001010 | 00000111 | 00000111 |     0.6250000000 +     1.8750000000 =     1.8750000000
00001010 | 00001000 | 00000001 |     0.6250000000 +     0.5000000000 =     1.1250000000
00001010 | 00001001 | 00000001 |     0.6250000000 +     0.5625000000 =     1.1250000000
00001010 | 00001010 | 00000010 |     0.6250000000 +     0.6250000000 =     1.2500000000
00001010 | 00001011 | 00000010 |     0.6250000000 +     0.6875000000 =     1.2500000000
00001010 | 00001100 | 00000011 |     0.6250000000 +     0.7500000000 =     1.3750000000
00001010 | 00001101 | 00000011 |     0.6250000000 +     0.8125000000 =     1.3750000000
00001010 | 00001110 | 00000100 |     0.6250000000 +     0.8750000000 =     1.5000000000
00001010 | 00001111 | 00000100 |     0.6250000000 +     0.9375000000 =     1.5000000000
00001011 | 00000000 | 00000101 |     0.6875000000 +     1.0000000000 =     1.6250000000
00001011 | 00000001 | 00000110 |     0.6875000000 +     1.1250000000 =     1.7500000000
00001011 | 00000010 | 00000111 |     0.6875000000 +     1.2500000000 =     1.8750000000
00001011 | 00000011 | 00000111 |     0.6875000000 +     1.3750000000 =     1.8750000000
00001011 | 00000100 | 00000111 |     0.6875000000 +     1.5000000000 =     1.8750000000
00001011 | 00000101 | 00000111 |     0.6875000000 +     1.6250000000 =     1.8750000000
00001011 | 00000110 | 00000111 |     0.6875000000 +     1.7500000000 =     1.8750000000
00001011 | 00000111 | 00000111 |     0.6875000000 +     1.8750000000 =     1.8750000000
00001011 | 00001000 | 00000001 |     0.6875000000 +     0.5000000000 =     1.1250000000
00001011 | 00001001 | 00000010 |     0.6875000000 +     0.5625000000 =     1.2500000000
00001011 | 00001010 | 00000010 |     0.6875000000 +     0.6250000000 =     1.2500000000
00001011 | 00001011 | 00000011 |     0.6875000000 +     0.6875000000 =     1.3750000000
00001011 | 00001100 | 00000011 |     0.6875000000 +     0.7500000000 =     1.3750000000
00001011 | 00001101 | 00000100 |     0.6875000000 +     0.8125000000 =     1.5000000000
00001011 | 00001110 | 00000100 |     0.6875000000 +     0.8750000000 =     1.5000000000
00001011 | 00001111 | 00000101 |     0.6875000000 +     0.9375000000 =     1.6250000000
00001100 | 00000000 | 00000110 |     0.7500000000 +     1.0000000000 =     1.7500000000
00001100 | 00000001 | 00000111 |     0.7500000000 +     1.1250000000 =     1.8750000000
00001100 | 00000010 | 00000111 |     0.7500000000 +     1.2500000000 =     1.8750000000
00001100 | 00000011 | 00000111 |     0.7500000000 +     1.3750000000 =     1.8750000000
00001100 | 00000100 | 00000111 |     0.7500000000 +     1.5000000000 =     1.8750000000
00001100 | 00000101 | 00000111 |     0.7500000000 +     1.6250000000 =     1.8750000000
00001100 | 00000110 | 00000111 |     0.7500000000 +     1.7500000000 =     1.8750000000
00001100 | 00000111 | 00000111 |     0.7500000000 +     1.8750000000 =     1.8750000000
00001100 | 00001000 | 00000010 |     0.7500000000 +     0.5000000000 =     1.2500000000
00001100 | 00001001 | 00000010 |     0.7500000000 +     0.5625000000 =     1.2500000000
00001100 | 00001010 | 00000011 |     0.7500000000 +     0.6250000000 =     1.3750000000
00001100 | 00001011 | 00000011 |     0.7500000000 +     0.6875000000 =     1.3750000000
00001100 | 00001100 | 00000100 |     0.7500000000 +     0.7500000000 =     1.5000000000
00001100 | 00001101 | 00000100 |     0.7500000000 +     0.8125000000 =     1.5000000000
00001100 | 00001110 | 00000101 |     0.7500000000 +     0.8750000000 =     1.6250000000
00001100 | 00001111 | 00000101 |     0.7500000000 +     0.9375000000 =     1.6250000000
00001101 | 00000000 | 00000110 |     0.8125000000 +     1.0000000000 =     1.7500000000
00001101 | 00000001 | 00000111 |     0.8125000000 +     1.1250000000 =     1.8750000000
00001101 | 00000010 | 00000111 |     0.8125000000 +     1.2500000000 =     1.8750000000
00001101 | 00000011 | 00000111 |     0.8125000000 +     1.3750000000 =     1.8750000000
00001101 | 00000100 | 00000111 |     0.8125000000 +     1.5000000000 =     1.8750000000
00001101 | 00000101 | 00000111 |     0.8125000000 +     1.6250000000 =     1.8750000000
00001101 | 00000110 | 00000111 |     0.8125000000 +     1.7500000000 =     1.8750000000
00001101 | 00000111 | 00000111 |     0.8125000000 +     1.8750000000 =     1.8750000000
00001101 | 00001000 | 00000010 |     0.8125000000 +     0.5000000000 =     1.2500000000
00001101 | 00001001 | 00000011 |     0.8125000000 +     0.5625000000 =     1.3750000000
00001101 | 00001010 | 00000011 |     0.8125000000 +     0.6250000000 =     1.3750000000
00001101 | 00001011 | 00000100 |     0.8125000000 +     0.6875000000 =     1.5000000000
00001101 | 00001100 | 00000100 |     0.8125000000 +     0.7500000000 =     1.5000000000
00001101 | 00001101 | 00000101 |     0.8125000000 +     0.8125000000 =     1.6250000000
00001101 | 00001110 | 00000101 |     0.8125000000 +     0.8750000000 =     1.6250000000
00001101 | 00001111 | 00000110 |     0.8125000000 +     0.9375000000 =     1.7500000000
00001110 | 00000000 | 00000111 |     0.8750000000 +     1.0000000000 =     1.8750000000
00001110 | 00000001 | 00000111 |     0.8750000000 +     1.1250000000 =     1.8750000000
00001110 | 00000010 | 00000111 |     0.8750000000 +     1.2500000000 =     1.8750000000
00001110 | 00000011 | 00000111 |     0.8750000000 +     1.3750000000 =     1.8750000000
00001110 | 00000100 | 00000111 |     0.8750000000 +     1.5000000000 =     1.8750000000
00001110 | 00000101 | 00000111 |     0.8750000000 +     1.6250000000 =     1.8750000000
00001110 | 00000110 | 00000111 |     0.8750000000 +     1.7500000000 =     1.8750000000
00001110 | 00000111 | 00000111 |     0.8750000000 +     1.8750000000 =     1.8750000000
00001110 | 00001000 | 00000011 |     0.8750000000 +     0.5000000000 =     1.3750000000
00001110 | 00001001 | 00000011 |     0.8750000000 +     0.5625000000 =     1.3750000000
00001110 | 00001010 | 00000100 |     0.8750000000 +     0.6250000000 =     1.5000000000
00001110 | 00001011 | 00000100 |     0.8750000000 +     0.6875000000 =     1.5000000000
00001110 | 00001100 | 00000101 |     0.8750000000 +     0.7500000000 =     1.6250000000
00001110 | 00001101 | 00000101 |     0.8750000000 +     0.8125000000 =     1.6250000000
00001110 | 00001110 | 00000110 |     0.8750000000 +     0.8750000000 =     1.7500000000
00001110 | 00001111 | 00000110 |     0.8750000000 +     0.9375000000 =     1.7500000000
00001111 | 00000000 | 00000111 |     0.9375000000 +     1.0000000000 =     1.8750000000
00001111 | 00000001 | 00000111 |     0.9375000000 +     1.1250000000 =     1.8750000000
00001111 | 00000010 | 00000111 |     0.9375000000 +     1.2500000000 =     1.8750000000
00001111 | 00000011 | 00000111 |     0.9375000000 +     1.3750000000 =     1.8750000000
00001111 | 00000100 | 00000111 |     0.9375000000 +     1.5000000000 =     1.8750000000
00001111 | 00000101 | 00000111 |     0.9375000000 +     1.6250000000 =     1.8750000000
00001111 | 00000110 | 00000111 |     0.9375000000 +     1.7500000000 =     1.8750000000
00001111 | 00000111 | 00000111 |     0.9375000000 +     1.8750000000 =     1.8750000000
00001111 | 00001000 | 00000011 |     0.9375000000 +     0.5000000000 =     1.3750000000
00001111 | 00001001 | 00000100 |     0.9375000000 +     0.5625000000 =     1.5000000000
00001111 | 00001010 | 00000100 |     0.9375000000 +     0.6250000000 =     1.5000000000
00001111 | 00001011 | 00000101 |     0.9375000000 +     0.6875000000 =     1.6250000000
00001111 | 00001100 | 00000101 |     0.9375000000 +     0.7500000000 =     1.6250000000
00001111 | 00001101 | 00000110 |     0.9375000000 +     0.8125000000 =     1.7500000000
00001111 | 00001110 | 00000110 |     0.9375000000 +     0.8750000000 =     1.7500000000
00001111 | 00001111 | 00000111 |     0.9375000000 +     0.9375000000 =     1.8750000000
